Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation,OLA,Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,Electricity Response SLA,,,
Power Contact,Service Request,City Power Forcelink,20001,IME5,City Power Forcelink,CABINET / CHAMBER OPEN,FIX MY CITY,Unverified ,Electricity CABINET/CHAMBER OPEN ,CABINET OPEN,60000041,CITY POWER,P2,12,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20002,IMEM,City Power Forcelink,DAMAGED HIGH MAST POLE,FIX MY CITY,Unverified ,Electricity DAMAGED HIGH MAST POLE,DAMAGED POLE,60000041,CITY POWER,P5,168,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20003,IME9,City Power Forcelink,ELECTRICITY SURGE/SPIKE,FIX MY CITY,Unverified ,Electricity SURGE / SPIKE,ELECTRICITY SURGE,60000041,CITY POWER,P2,12,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20004,IME6,City Power Forcelink,ELECTROCUTION,FIX MY CITY,Unverified ,ELECTROCUTION,ELECTROCUTION,60000041,CITY POWER,P2,12,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20005,IME7,City Power Forcelink,EXPOSED WIRES,FIX MY CITY,Unverified ,EXPOSED ELECTRICAL WIRES,EXPOSED WIRES,60000041,CITY POWER,P2,12,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20006,IME8,City Power Forcelink,FLICKERING SUPPLY (VOLTAGE FLUCTUATION),FIX MY CITY,Unverified ,FLICKERING ELECTRICITY SUPPLY (VOLTAGE FLUCTUATION),FLICKERING SUPPLY,60000041,CITY POWER,P2,12,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20007,IMEB,City Power Forcelink,LINE DOWN,FIX MY CITY,Unverified ,Electricity LINE DOWN,LINE DOWN,60000041,CITY POWER,P2,12,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,SLA Priority Levels,Indicator,RANGE 
Power Contact,Service Request,City Power Forcelink,20008,IMED,City Power Forcelink,LOW VOLTAGE,FIX MY CITY,Unverified ,LOW ELECTRICITY VOLTAGE,LOW VOLTAGE,60000041,CITY POWER,P2,12,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,Critical,P1,0-8 hours 
Power Contact,Service Request,City Power Forcelink,20009,MTR1,City Power Forcelink,METER REMOVED FROM METER BOX / STOLEN,FIX MY CITY,"Proxy, Verified",Electricity METER REMOVED FROM METER BOX/STOLEN ,METER STOLEN,60000041,CITY POWER,P4,48,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,High,P2,8-36 hours
Power Contact,Service Request,City Power Forcelink,20010,HME3,City Power Forcelink,POLE DOWN,FIX MY CITY,Unverified ,Electricity POLE DOWN ,POLE DOWN,60000041,CITY POWER,P1,0,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,Medium,P3,36-48 hours 
Power Contact,Service Request,City Power Forcelink,20011,IMEE,City Power Forcelink,SHOCKS ON TAPS,FIX MY CITY,Unverified ,Electricity SHOCKS ON TAPS ,SHOCKS ON TAPS,60000041,CITY POWER,P1,0,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,Low,P4,48-72 hours 
Power Contact,Service Request,City Power Forcelink,20012,IMEF,City Power Forcelink,SPARKS AT POLE,FIX MY CITY,Unverified ,Electricity SPARKS AT POLE ,SPARKS AT POLE,60000041,CITY POWER,P2,12,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,Very Low ,P5,above  72 hours 
Power Contact,Service Request,City Power Forcelink,20013,IMEH,City Power Forcelink,SUBSTATION BURNING,FIX MY CITY,Unverified ,SUBSTATION BURNING,SUBSTATION BURNING,60000041,CITY POWER,P2,12,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20014,IMEC,City Power Forcelink,TREES OBSTRUCTING LINE,FIX MY CITY ,Unverified ,TREES OBSTRUCTING ELECTRICITY LINE ,TREES ON LINE,60000041,CITY POWER,P2,12,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20015,IMEJ,City Power Forcelink,VANDALIZED CHAMBER,FIX MY CITY ,UnverifiPower Contact,Service Request,City Power Forcelink,20016,IMEK,City Power Forcelink,WATER IN CHAMBER,FIX MY CITY,Unverified ,WATER IN ELECTRICITY CHAMBER ,WATER IN CHAMBER,60000041,CITY POWER,P2,12,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,,,
ed ,VANDALIZED ELECTRICITY CHAMBER,VANDALIZED CHAMBER,60000041,CITY POWER,P2,12,HOUR,5CA3D9A448150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20017,IIC1,City Power Forcelink,ILLEGAL CONNECTION / BYPASS,FIX MY CITY ,Unverified ,ILLEGAL ELECTRICITY CONNECTION /BYPASS ,ILLEGAL CONN.,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20018,IME4,City Power Forcelink,BARRICADE TRENCH / TRENCH NOT CLOSED,FIX MY CITY ,Unverified ,Electricity BARRICADE TRENCH / TRENCH NOT CLOSED ,BARRICADE TRENCH,60000041,CITY POWER,P2,24,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20019,IME1,City Power Forcelink,BEES IN METER BOX,FIX MY CITY ,Unverified ,BEES IN ELECTRICITY METER BOX ,BEES-METER BOX,60000041,CITY POWER,P3,48,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20020,IME2,City Power Forcelink,GRASS CUTTING: SUBSTATION,FIX MY CITY ,Unverified ,GRASS CUTTING ELECTRICITY SUBSTATION ,GRASS CUTTING,60000041,CITY POWER,P5,112,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
