Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation ,"OLA 
Still awaiting",Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,,,
Water Contact,Service Request,Joburg Water Forcelink,10078,WD,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:WATER DELIVERY:PRE-PAID SERV,WATER DELIVERY,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10079,CPMX,Joburg Water Forcelink,,FIX MY CITY,Verified ,PREPAID METER READS X AREA,METER READS X AREA,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10080,CPBF,Joburg Water Forcelink,,FIX MY CITY,Verified ,PREPAID METER BATTERY FLAT,METER BATTERY FLAT,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10081,CP251,Joburg Water Forcelink,,FIX MY CITY,Verified ,PREPAID METER READS ERROR 251,METER READS ERROR 251,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10082,CPND,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID WATER METER NOT DISPENCING WTR,WATER METER NOT DISPENCING WTR,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10083,CPLCD,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID METER LCD BLANK,METER LCD BLANK,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10084,CPPL,Joburg Water Forcelink,,FIX MY CITY,Unverified ,Possible leak on upgraded prepaid meter,leak on upgraded prepaid meter,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10085,CPRP,Joburg Water Forcelink,,FIX MY CITY,Unverified ,Reinstatement of paving/concrete not don,of paving/concrete not don,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10086,CPBA,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID CUSTOMER STILLL BEING B,CUSTOMER STILLL BEING B,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10087,CPCF,Joburg Water Forcelink,,FIX MY CITY,Unverified ,CISTERN FAILURE AFTER RETOFITTING,FAILURE AFTER RETOFITTING,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10088,CPMB,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID METER SHATTERING,METER SHATTERING,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10089,CPMI,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID METER INSTALL,METER INSTALL,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10090,CPMND,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID MISSING OR DAMAGED/TAG,MISSING OR DAMAGED/TAG,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10091,CPPC,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PIPE LEAKS AFTER RETROFITTING,LEAKS AFTER RETROFITTING,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,SLA Priority Levels,Indicator,RANGE 
Water Contact,Service Request,Joburg Water Forcelink,10092,RGDD,Joburg Water Forcelink,,FIX MY CITY,Unverified ,IRRIGATING GARDEN DURING 6AM AND 6 PM,GARDEN DURING 6AM AND 6 PM,60000042,JOHANNESBURG WATER,P5,2400,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,Critical,P1,0-8 hours 
Water Contact,Service Request,Joburg Water Forcelink,10093,RSWI,Joburg Water Forcelink,,FIX MY CITY,Unverified ,FILLING SWIMMING POOL,SWIMMING POOL,60000042,JOHANNESBURG WATER,P5,2400,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,High,P2,8-36 hours
Water Contact,Service Request,Joburg Water Forcelink,10094,CPBM,Joburg Water Forcelink,,FIX MY CITY,Verified ,PREPAID METER BLOCKED,METER BLOCKED,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,Medium,P3,36-48 hours 
Water Contact,Service Request,Joburg Water Forcelink,10095,CPCE,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID COMMS ERROR,COMMS ERROR,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,Low,P4,48-72 hours 
Water Contact,Service Request,Joburg Water Forcelink,10096,CPFB,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID NO FREE BASIC WATER,NO FREE BASIC WATER,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,Very Low ,P5,above  72 hours 
Water Contact,Service Request,Joburg Water Forcelink,10097,CPFT,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID FAULTY TAG/CARD,FAULTY TAG/CARD,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10098,CPLP,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID LOW PRESSURE,LOW PRESSURE,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
